params,ari_mean,ari_std,ari_median,nmi_mean,nmi_std,nmi_median,silhouette_mean,silhouette_std,silhouette_median,davies_bouldin_mean,davies_bouldin_std,davies_bouldin_median,coverage_mean,coverage_std,coverage_median,n_runs_ok,dataset,config_id
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 8, 'n_marker_agents': 10, 'n_transporter_agents': 20, 'tau_percentile': 25, 'iterations': 2500}",0.27506534977182895,0.05655618033595106,0.27220382955813605,0.491331327381529,0.032921502390020514,0.49291803830991676,-0.5776571685839174,0.049393958690557106,-0.5857215191534558,12.052875063706008,3.090516303378206,11.329526722931506,1.0,0.0,1.0,30,wine,155
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 5, 'n_marker_agents': 10, 'n_transporter_agents': 10, 'tau_percentile': 15, 'iterations': 2500}",0.27490829749632223,0.05908622093665599,0.2766666196934681,0.48428896996669873,0.03445563922136863,0.47890973716366636,-0.5172358026597468,0.06239764600718525,-0.5180773808670436,13.872028060196858,4.862263779773182,13.284263741642892,1.0,0.0,1.0,30,wine,134
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 5, 'n_marker_agents': 10, 'n_transporter_agents': 3, 'tau_percentile': 15, 'iterations': 2500}",0.27385804493690397,0.05512116908281835,0.2630113821235966,0.4863232818511428,0.03307815810525719,0.4831681627210769,-0.4997412002398338,0.04771088875706391,-0.5060321767368783,13.97171940811781,4.709335224762641,13.280402872085016,1.0,0.0,1.0,30,wine,132
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 8, 'n_marker_agents': 20, 'n_transporter_agents': 10, 'tau_percentile': 25, 'iterations': 2500}",0.2732701444085604,0.04632282422277326,0.267198174939948,0.492878566506722,0.02892997704100627,0.49986138336342145,-0.5822987600517917,0.04820247501707399,-0.5848140215594098,11.995363260870805,3.0538978264703367,12.131108988231865,1.0,0.0,1.0,30,wine,159
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 3, 'n_transporter_agents': 20, 'tau_percentile': 15, 'iterations': 2500}",0.2725075534624487,0.07072713374930757,0.267529773477507,0.4291044376355319,0.05617452774586982,0.44620205716689315,-0.4268753417260234,0.10028276534993968,-0.41349310898361985,13.923239265008368,6.213072808939483,12.519717076171807,0.9958801498127341,0.007096365288949986,1.0,30,wine,112
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 8, 'n_marker_agents': 20, 'n_transporter_agents': 3, 'tau_percentile': 25, 'iterations': 2500}",0.2713820790051308,0.05045879482203998,0.2568340256446004,0.4886647572750762,0.024696369224586158,0.48884752537032566,-0.5789194178435609,0.05547098581355695,-0.5915604045577002,12.227491606766058,5.108128414296119,11.01764766395559,1.0,0.0,1.0,30,wine,157
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 5, 'n_marker_agents': 10, 'n_transporter_agents': 20, 'tau_percentile': 15, 'iterations': 2500}",0.2709428550393721,0.04766052388845014,0.2687072525477018,0.48332712182541276,0.029936818366569404,0.47768195562358123,-0.5091787958096844,0.05722423868622502,-0.50381440497993,12.024860865470504,3.3370562239110892,11.917542854108735,1.0,0.0,1.0,30,wine,136
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 3, 'n_transporter_agents': 20, 'tau_percentile': 25, 'iterations': 2500}",0.26652637278471014,0.07432689971692043,0.26030746607776756,0.4268980894673007,0.059388951307210086,0.44136820482829664,-0.44170908527218306,0.08721049141630577,-0.45439884951774867,14.307168401899506,13.65729360535883,11.843264039800827,0.9985018726591761,0.0043355194392472865,1.0,30,wine,113
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 5, 'n_marker_agents': 20, 'n_transporter_agents': 20, 'tau_percentile': 15, 'iterations': 2500}",0.26645760905321003,0.052548355744333725,0.25959020486037276,0.48140787574226135,0.030624958952216143,0.481584981337551,-0.5122286609735253,0.06613588296804405,-0.5113408521176889,14.103573661696554,4.555873877867208,12.727795850450335,1.0,0.0,1.0,30,wine,142
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 3, 'n_transporter_agents': 10, 'tau_percentile': 25, 'iterations': 2500}",0.262841165502764,0.0659379564895412,0.25457053396664087,0.41747669141375066,0.05275506502935791,0.41198802287045044,-0.43561384093011546,0.09053194964651097,-0.44010157749958045,14.430088044328105,8.29563699542415,12.619946115472732,0.9988764044943821,0.0026746922953344073,1.0,30,wine,111
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 5, 'n_marker_agents': 20, 'n_transporter_agents': 3, 'tau_percentile': 15, 'iterations': 2500}",0.262270097268628,0.046899896428863636,0.2518916955754959,0.4781677664202155,0.02411959068238883,0.4786331788024097,-0.5195825840620993,0.05462130746341031,-0.5210271488802036,12.20979838488094,3.778345736370941,11.0426850095081,1.0,0.0,1.0,30,wine,138
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 10, 'n_transporter_agents': 3, 'tau_percentile': 15, 'iterations': 2500}",0.26173803819957076,0.0640477750500637,0.252031561236286,0.43150253231698366,0.04840890733194753,0.42860193715876516,-0.3940230730948574,0.07096060261600658,-0.39397672857889665,13.481422025161923,4.577142569791056,13.375159762524904,1.0,0.0,1.0,30,wine,114
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 5, 'n_marker_agents': 20, 'n_transporter_agents': 10, 'tau_percentile': 15, 'iterations': 2500}",0.2600050925866676,0.05494718735871948,0.2522728510577287,0.47699857103132026,0.0311481479625206,0.4684999945789494,-0.5195054839236919,0.06261707246108415,-0.5235113559857217,13.62937377340845,4.342082852456073,12.731398639872724,1.0,0.0,1.0,30,wine,140
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 20, 'n_transporter_agents': 3, 'tau_percentile': 25, 'iterations': 2500}",0.2583990670637875,0.05525330405297832,0.25917660876187076,0.425219303535341,0.04740225534947874,0.42852778911932066,-0.4094779922121312,0.0704135126024194,-0.4078606361536919,13.008667459603194,4.731917025784856,12.539265600736437,1.0,0.0,1.0,30,wine,121
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 10, 'n_transporter_agents': 3, 'tau_percentile': 25, 'iterations': 2500}",0.25824747643885104,0.06508794127377854,0.23173152817035736,0.4348474289134699,0.052754690874596846,0.42699327036241064,-0.39887319231856966,0.0697369023962096,-0.41173346190081095,13.336210278044947,5.20988073035785,12.564616835092213,1.0,0.0,1.0,30,wine,115
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 8, 'n_marker_agents': 3, 'n_transporter_agents': 10, 'tau_percentile': 15, 'iterations': 2500}",0.2576711014289087,0.05276005800956309,0.2487001544814077,0.49614135784289815,0.02497607198394308,0.4932329466410076,-0.5899340900505313,0.04549119748115137,-0.595855758919482,12.978428976796103,4.025668440666771,12.046533240301919,0.996629213483146,0.009687278768822144,1.0,30,wine,146
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 8, 'n_marker_agents': 3, 'n_transporter_agents': 3, 'tau_percentile': 15, 'iterations': 2500}",0.25684939220293035,0.05532165546030962,0.24366915848000953,0.4933270896201344,0.02715068537633978,0.49037848318496075,-0.6002215852188489,0.05205991484844194,-0.5911289626471827,12.30280246161758,3.898975534078058,10.892687233826623,0.996816479400749,0.00854269268011763,1.0,30,wine,144
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 20, 'n_transporter_agents': 3, 'tau_percentile': 15, 'iterations': 2500}",0.25654441665791883,0.06253488209341965,0.24674316610704095,0.4197144485815898,0.05342438371645028,0.4201990855345715,-0.4061966101525546,0.06987877954830746,-0.400675089410672,14.19723049323065,6.131109122014965,12.171958742060475,1.0,0.0,1.0,30,wine,120
